,OBJECTID,ZIP5,ShapeSTArea,ShapeSTLength,zip,num_of_stops,Name,Geographic Unit,population,"Population Density (per sq. mile), 2019",black_pop,%black,white_pop,%white,crime,"Employees, Total (by Place of Work), 2019",resident_employee_ratio,num_of_people_stopped,black_num_of_stops,white_num_of_stops,stopped_per,stops_per,per_black_stopped_within_blacks,per_white_stopped_within_whites,per_stopped_black_to_white,%black_in_blacks,%white_in_whites,color
0,11.0,2119.0,44511498.5244141,37680.7020993546,2119,900.0,"02119, Roxbury, MA",Zip Code,30522.0,15528.3,17865.0,58.5316,4819.0,15.7886,148.0,6872.0,4.441501746216530,1764.0,1296.0,362.0,5.779437782583060,2.948692746215840,7.2544080604534,7.511931936086330,-0.25752387563292400,9.988426508327880,1.2843029345216000,#E76F51
1,10.0,2121.0,48905922.2434082,35217.5819232824,2121,525.0,"02121, W. Dorchester, MA",Zip Code,28000.0,25345.5,19762.0,70.5786,1913.0,6.8321,148.0,1902.0,14.721345951629900,951.0,812.0,70.0,3.396428571428570,1.875,4.10889586074284,3.659174072138000,0.44972178860483700,11.04905035866640,0.5098301543348890,#F4A261
2,4.0,2118.0,31161577.073486300,32353.407617599600,2118,500.0,"02118, South End, MA",Zip Code,27863.0,31002.3,6227.0,22.3486,13271.0,47.6295,147.0,14993.0,1.8584005869405700,798.0,453.0,305.0,2.864013207479450,1.7944944909019100,7.274771157860930,2.298244292065410,4.976526865795520,3.481552301559350,3.53683009836817,#BAC05D
3,2.0,2125.0,64760516.6159668,62224.521439968,2125,360.0,"02125, E. Dorchester, MA",Zip Code,36057.0,16595.8,10783.0,29.9054,11854.0,32.8757,126.0,11724.0,3.0754861821903800,621.0,463.0,111.0,1.7222730676429000,0.9984191696480570,4.293795789668920,0.936392778808841,3.3574030108600800,6.028838681181060,3.1591880028676300,#B9C0DA
4,17.0,2124.0,85658048.0522461,57673.0077470162,2124,447.0,"02124, Dorchester Center, MA",Zip Code,53286.0,17224.1,31356.0,58.8447,10454.0,19.6187,105.0,6461.0,8.247330134654080,815.0,689.0,66.0,1.529482415643880,0.838869496678302,2.197346600331680,0.6313372871628090,1.5660093131688700,17.531323906808200,2.7860765464803600,#E9C46A
5,5.0,2126.0,60785850.3103027,45488.3947113255,2126,213.0,"02126, Mattapan, MA",Zip Code,26000.0,12905.9,21332.0,82.0462,1734.0,6.6692,103.0,2151.0,12.08740120874010,354.0,285.0,43.0,1.3615384615384600,0.8192307692307690,1.3360210013125800,2.4798154555940000,-1.1437944542814200,11.926846586938200,0.46212518955394500,#2A9D8F
6,27.0,2120.0,17329493.551025400,28148.299905881200,2120,110.0,"02120, Roxbury Crossing, MA",Zip Code,16784.0,24996.1,4151.0,24.7319,8412.0,50.1192,115.0,5273.0,3.18300777545989,212.0,175.0,19.0,1.263107721639660,0.6553860819828410,4.215851602023610,0.22586780789348500,3.989983794130120,2.3208484990802700,2.2418668365212200,#998DA0
7,32.0,2122.0,61086361.343261700,74811.1840081161,2122,128.0,"02122, S. Dorchester, MA",Zip Code,25649.0,16551.3,7767.0,30.2819,8833.0,34.438,121.0,8197.0,3.1290716115652100,204.0,150.0,35.0,0.7953526453273030,0.49904479706811200,1.9312475859405200,0.3962413675987770,1.5350062183417400,4.342575353494690,2.3540667816205300,#BE8995
8,30.0,2129.0,42249762.5300293,38078.0954538402,2129,82.0,"02129, Charlestown, MA",Zip Code,17632.0,13705.0,1115.0,6.3237,13688.0,77.6316,108.0,12896.0,1.3672456575682400,132.0,73.0,50.0,0.7486388384754990,0.4650635208711430,6.547085201793720,0.3652834599649330,6.181801741828790,0.623403053836305,3.64796401073495,#793E3E
9,1.0,2134.0,37219357.2770996,40794.1823959767,2134,96.0,"02134, Allston, MA",Zip Code,23402.0,24328.7,1297.0,5.5423,14645.0,62.5801,130.0,10979.0,2.131523818198380,159.0,70.0,77.0,0.6794291086231950,0.41022134860268400,5.397070161912110,0.5257767156025950,4.871293446309510,0.7251603236104820,3.903012341993960,#FFDAC2
10,9.0,2130.0,105221153.023926,64225.0222102118,2130,137.0,"02130, Jamaica Plain, MA",Zip Code,39927.0,10064.4,6289.0,15.7512,24604.0,61.6225,99.0,14397.0,2.7732861012711000,219.0,153.0,57.0,0.5485010143511910,0.3431262053247180,2.4328192081412000,0.23166964721183500,2.201149560929360,3.516216865987910,6.557167337823110,#459EC4
11,8.0,2113.0,2807327.85253906,8507.459971040670,2113,18.0,"02113, North End, MA",Zip Code,7216.0,61913.3,75.0,1.0394,6722.0,93.1541,144.0,2275.0,3.171868131868130,31.0,2.0,29.0,0.4296008869179600,0.24944567627494500,2.666666666666670,0.4314192204700980,2.235247446196570,0.041932940841007100,1.7914680070251600,#3D405B
12,26.0,2127.0,67536142.7421875,51905.2516353037,2127,84.0,"02127, South Boston, MA",Zip Code,34894.0,15869.1,2314.0,6.6315,28046.0,80.3748,115.0,11628.0,3.0008599931200600,121.0,38.0,75.0,0.3467644867312430,0.2407290651687970,1.6421780466724300,0.2674178135919560,1.3747602330804700,1.2937710014145400,7.47448850416952,#998650
13,31.0,2128.0,147802204.054443,82747.6903234676,2128,91.0,"02128, East Boston, MA",Zip Code,45957.0,10541.5,2193.0,4.7719,28428.0,61.8578,128.0,24252.0,1.894977733795150,156.0,42.0,92.0,0.3394477446308510,0.19801118436799600,1.915184678522570,0.3236245954692560,1.591560083053320,1.2261191901910500,7.576294630126620,#8F2D00
14,14.0,2135.0,78620825.9248047,61170.6309380143,2135,98.0,"02135, Brighton, MA",Zip Code,50889.0,18468.0,2807.0,5.5159,36394.0,71.5164,122.0,19215.0,2.64839968774395,132.0,56.0,61.0,0.2593880799386900,0.19257599874236100,1.99501246882793,0.16761004561191400,1.827402423216020,1.5694101992094200,9.699298816970180,#41521F
15,21.0,2136.0,128128953.259766,65353.757829390300,2136,45.0,"02136, Hyde Park, MA",Zip Code,34555.0,9482.8,17719.0,51.2777,11057.0,31.9983,75.0,5584.0,6.188216332378220,62.0,41.0,18.0,0.179424106496889,0.13022717407032300,0.23139003329759000,0.16279280094058100,0.06859723235700950,9.906797050157390,2.946780980910020,#264653
16,25.0,2131.0,81688796.49902340,68311.54512162020,2131,34.0,"02131, Roslindale, MA",Zip Code,32923.0,12295.2,8379.0,25.4503,17759.0,53.941,86.0,6102.0,5.395444116683060,57.0,38.0,15.0,0.17313124563375100,0.10327126932539600,0.45351473922902500,0.0844642153274396,0.3690505239015850,4.684748150757310,4.732918824272500,#A2A48E
17,18.0,2132.0,129360685.45971700,68024.5717104022,2132,15.0,"02132, West Roxbury, MA",Zip Code,29420.0,5366.5,2105.0,7.155,23527.0,79.9694,58.0,6284.0,4.681731381285810,19.0,5.0,14.0,0.06458191706322230,0.05098572399728080,0.23752969121140100,0.05950609937518600,0.17802359183621500,1.1769178729376000,6.270138024588050,#B0E8CD
